Date,Volume,Open,Close,High,Low
1/27/2023,1934465,593.32,590.99,599.25,590.19
1/26/2023,2452457,590.41,598.58,600.56,586.2601
1/25/2023,1376594,577.67,585.68,586.97,576.04
1/24/2023,1382466,578.44,585.03,586.69,575.63
1/23/2023,2342882,572,581.63,584.7925,569.78
1/20/2023,2295083,563.03,570.78,571.36,559.11
1/19/2023,2269382,569.12,563.22,570.06,560.31
1/18/2023,1570366,583.21,574.29,587.56,573.72
1/17/2023,1583506,574.9,579.24,585.36,574.54
1/13/2023,1964750,577.15,579,581.93,576.675
1/12/2023,1936395,575.59,581.94,585.11,573.76
1/11/2023,2250247,573,578.14,578.34,566.87
1/10/2023,4463532,572.0001,574.93,575.13,549.99
1/9/2023,3773874,592.3,576.89,601.675,560.56
1/6/2023,3520924,563.12,588.43,591,562.305
1/5/2023,1627885,555.71,555.02,559.84,551.12
1/4/2023,1707359,562.99,560.24,568.16,556.03
1/3/2023,2017314,565,553.48,567.57,550.79
12/30/2022,1437726,551.82,559.13,559.65,548.01
12/29/2022,1817606,551.85,557.81,562.6,550.5006
12/28/2022,1541156,551.64,544.89,557.77,542.45
12/27/2022,1667704,551.55,553.54,558.105,546.94
12/23/2022,1376102,550,552.43,553.6175,547.45
12/22/2022,2755413,553.35,553.09,554.94,547.2
12/21/2022,2561912,547.67,561.23,561.91,546.95
12/20/2022,2918055,545.17,544.02,549,540.915
12/19/2022,2509318,554.02,549.63,556.48,545.72
12/16/2022,4954898,557.45,555.91,559.8,550.87
12/15/2022,3690333,563.78,558,566.4876,557.7
12/14/2022,3520481,568.55,574.44,585.65,567.73
12/13/2022,4041629,575.82,571.04,581.84,565.03
12/12/2022,2341842,544.75,556.63,556.87,542.24
12/9/2022,3702650,550.94,544.72,552.64,541
12/8/2022,2751431,520.81,531.08,532.42,520.3848
12/7/2022,1652385,519.6,518.5,524.9985,516.05
12/6/2022,1965513,530.65,525.82,533.57,521.75
12/5/2022,1854983,537.77,530.64,539.48,525.485
12/2/2022,1931953,537.05,540.8,542.7,536.08
12/1/2022,2300645,551.03,550.75,552.42,541.955
11/30/2022,4734939,524.11,551.03,551.66,517.83
11/29/2022,1269585,523,521.39,525.85,514.83
11/28/2022,2351064,525.24,522.21,528.76,516.24
11/25/2022,745539,530.69,529.91,534.58,529.48
11/23/2022,1396717,530.35,533.64,541.48,528.8
11/22/2022,1891968,522.97,530.05,530.28,519.01
11/21/2022,1862162,512.94,517.44,520.85,511.11
11/18/2022,1453871,516.87,515.16,517.73,511
11/17/2022,2038503,505,512.11,512.7399,503.14
11/16/2022,2540504,516.72,511.73,518.54,510.28
11/15/2022,2331539,529.96,524.42,532.57,515.91
11/14/2022,2160182,515.39,513.22,525.02,513
11/11/2022,2672832,504.8,518.09,519,502
11/10/2022,3397028,491,506.57,507.17,487.192
11/9/2022,2369498,478.5,469.47,479,469.03
11/8/2022,2074321,481.245,482.11,488.8,473.5
11/7/2022,1768745,466.77,475.22,477.74,461.57
11/4/2022,2889054,456.86,465.3,468.89,453.28
11/3/2022,2388727,450.94,444.12,452.8593,441.36
11/2/2022,2109131,470.28,456.03,480.45,455.72
11/1/2022,1632438,475.795,467.9,476.825,463.17
10/31/2022,1925861,466.85,470.12,472.81,465.0101
10/28/2022,2309608,456.96,472.9,474.34,455.645
10/27/2022,1851186,466.05,455.4,470.77,454.9101
10/26/2022,2931519,457.99,461.18,471.755,455.343
10/25/2022,1824609,457.99,460.07,464.26,456.83
10/24/2022,2528701,452.73,456.52,458.7899,451.11
10/21/2022,2697968,432.09,449.73,450.66,429.17
10/20/2022,2340319,435.13,430.3,442.19,428.14
10/19/2022,1270235,433.23,435.3,438.3,430.88
10/18/2022,2034087,448.21,434.83,448.55,430.16
10/17/2022,2412009,439.55,435.37,441.24,433.39
10/14/2022,2281671,443.28,427.1,443.96,426.41
10/13/2022,2798438,417.42,437.97,443.77,415.0682
10/12/2022,1504625,432.25,430.57,435.72,428.01
10/11/2022,2804633,435.2,430.76,438.7,425.58
10/10/2022,3345412,460,437.7,460.1,431.84
10/7/2022,2842546,472.38,460.48,473.34,459.02
10/6/2022,1725000,483.79,479.5,489.7,478.715
10/5/2022,1849324,472.55,484.8,488.0861,471.46
10/4/2022,2727696,468.5,479.86,480.16,465.86
10/3/2022,2147893,449.24,456.78,460.9536,446.965
9/30/2022,2720220,449.06,444.01,457.8185,443.635
9/29/2022,3999662,460.9,450.13,461.37,444.88
9/28/2022,2760544,461.34,465.96,468.75,456.35
9/27/2022,1785161,469.55,464.75,469.89,456.51
9/26/2022,1936095,468.98,462.26,473.3,461.31
9/23/2022,2964907,474.95,468.68,477.99,462
9/22/2022,2353999,482.43,477.61,483.21,473
9/21/2022,2066913,490.99,482.14,499.88,481.77
9/20/2022,1713164,496,493.06,498.83,489.72
9/19/2022,1794826,494.42,501.84,503.39,494.42
9/16/2022,5901214,497.72,502.5,503.69,489.86
9/15/2022,3657361,508.93,500.14,511.56,497.28
9/14/2022,2060450,507.13,510.75,513,502.77
9/13/2022,3513603,513.84,503.65,518.27,501.68
9/12/2022,1815800,526.75,529.06,531.26,524.56
9/9/2022,2301888,515.44,522.4,525.97,515.44
9/8/2022,2253477,502.6,511.93,512.74,498.695
9/7/2022,2044027,502.91,505.13,509.43,499.08
9/6/2022,2473855,498.53,498.2,504,490.37
9/2/2022,4042587,518,500.22,519.81,498.3
9/1/2022,3193046,491.47,492.01,493.29,480.84
8/31/2022,3244469,510.16,499.11,510.16,496.54
8/30/2022,1828167,516.84,506.39,517.91,501.39
8/29/2022,1658015,520,514.18,522.74,512
8/26/2022,2568256,548.835,520.86,550.99,520
8/25/2022,1734523,533.45,550.13,550.48,532.26
8/24/2022,1188496,529.56,530.84,531.3,523.4401
8/23/2022,900317,533.85,529.78,537.62,528.91
8/22/2022,1855584,542.57,528.75,543.09,527.05
8/19/2022,1692455,550.86,548.43,555.58,547.87
8/18/2022,2345959,543.41,558.45,560.56,541.63
8/17/2022,1902221,544.37,538.59,544.71,531.04
8/16/2022,1478384,557.52,551.65,557.94,546.01
8/15/2022,1432965,554.23,558.96,559.785,550.5
8/12/2022,1840020,547.81,558.23,558.41,545.65
8/11/2022,1427035,553.95,545.43,557.765,544.25
8/10/2022,1951872,546.06,550.41,551.02,539.24
8/9/2022,2007417,539.09,532.8,539.35,527.75
8/8/2022,1372821,549.35,545.53,552.99,538.74
8/5/2022,1435744,544.9,551.44,552,543.28
8/4/2022,1629251,548.41,552.8,553.15,545.01
8/3/2022,1922816,535.29,546.74,548,534.12
8/2/2022,1307231,533.22,531.21,539.2,527.23
8/1/2022,1143457,531.43,536.37,539.7853,530.44
7/29/2022,1727831,531.98,535.48,537.83,530.27
7/28/2022,1440132,528.59,533.61,536.515,520.58
7/27/2022,2467538,518.2,527.79,530.19,516.93
7/26/2022,1716454,514.63,511.09,516.81,508.92
7/25/2022,1493581,510.46,513.11,513.32,506.5317
7/22/2022,1776967,518.81,512.52,519.79,506.68
7/21/2022,1369979,512.55,517.68,517.81,506.02
7/20/2022,2733623,509.54,511.77,517.61,504.4701
7/19/2022,2714535,496.8,509,511.35,495.89
7/18/2022,1576237,500.16,491.06,502.4099,488.19
7/15/2022,1845824,490.83,494.46,494.74,486.13
7/14/2022,1517686,482.45,484.41,486.68,473.4254
7/13/2022,1503486,474.98,481.56,485.6363,472.2875
7/12/2022,1725521,487.82,481.35,492.6,480.07
7/11/2022,1717224,489.49,482.96,491.62,480.98
7/8/2022,1258314,492.99,498.69,499.63,490.0001
7/7/2022,2117704,488.11,498.54,501.39,488.11
7/6/2022,2287826,480.53,482.61,487.05,475.5
7/5/2022,2066874,472,476.3,476.93,463.91
7/1/2022,1896786,478.57,477.84,479.76,469.43
6/30/2022,1828047,488.03,485.81,493.74,480.71
6/29/2022,1413431,495.48,490.41,495.93,486.67
6/28/2022,1495927,512.61,498.45,514.15,498.105
6/27/2022,1320718,513.8,505.71,514.035,502.82
6/24/2022,2061720,505,509.09,511.8,501.445
6/23/2022,1589261,501.75,496.58,501.75,491.01
6/22/2022,2431678,496.31,496.1,503.77,494.2
